Date,K1,K13,K14,K18,K19,K27,K31,K32,K35,K36,K38,K39,K40,K41,K43,K44,K45,K47,K48,K49,K50,K51,K53,K54,K55,K56,K58,K7,K9
2016-01,1804.973999,1806.479492,1877.629517,1502.109619,1511.684814,1463.644409,1459.388306,1454.579956,1466.469238,1459.525513,1497.052002,1506.592529,1628.034912,1628.182251,1547.903809,1543.026001,1468.438965,1464.537354,1466.891357,1466.908936,1469.925293,1462.889526,1465.039551,1869.034546,1860.500732,1859.345337,1841.824219,1503.045044,1882.040039
2016-02,1804.296387,1805.782715,1876.939819,1501.851685,1511.330688,1463.483154,1459.047241,1454.248535,1466.284912,1459.076294,1496.724731,1506.45166,1627.667969,1627.735718,1547.095337,1542.107056,1468.081299,1464.12793,1466.321289,1466.400757,1469.395264,1462.355713,1464.680054,1868.550293,1860.082275,1858.921753,1841.369995,1502.879395,1881.422974
2016-03,1802.627441,1803.984253,1876.146484,1501.594727,1510.883789,1463.196533,1458.579468,1452.777832,1466.075439,1458.240234,1495.779541,1506.231079,1627.077515,1625.544922,1544.69812,1539.577148,1467.328979,1463.467407,1465.420654,1465.570435,1468.126343,1461.002075,1464.09314,1867.805664,1859.317871,1858.143555,1840.170044,1502.57605,1880.746582
2016-04,1803.713745,1805.203979,1875.412964,1501.340576,1510.400391,1463.164917,1458.197754,1453.697266,1465.895508,1458.292725,1496.125122,1506.215576,1627.031006,1628.291748,1546.52124,1541.322876,1466.56958,1463.137939,1465.248413,1465.330444,1468.951904,1461.95105,1463.64978,1867.411743,1859.186157,1858.053101,1840.711426,1502.305542,1880.059204
2016-05,1800.944458,1802.266235,1874.611938,1501.078247,1509.974243,1462.8302,1457.697144,1451.143433,1465.690796,1457.142822,1494.707397,1505.953491,1626.34314,1624.011108,1542.440552,1537.15332,1465.675903,1462.284668,1464.24585,1464.301758,1466.897217,1459.716064,1462.890381,1866.450806,1858.111572,1856.939575,1838.853271,1501.873535,1879.304443
2016-06,1801.951904,1803.359863,1873.884766,1500.803101,1509.402588,1462.551025,1457.317749,1452.265381,1465.477783,1457.124023,1494.812866,1505.890503,1626.232056,1626.675903,1544.056763,1538.69458,1464.716187,1461.760254,1463.973755,1463.916748,1467.661865,1460.598022,1462.114746,1865.388306,1856.908203,1855.776611,1838.175903,1501.528442,1878.494995
2016-07,1802.623779,1804.245483,1873.053589,1500.526733,1508.786987,1462.244263,1456.861206,1452.199829,1465.260498,1457.125122,1495.069214,1505.860718,1626.307373,1628.445435,1545.444946,1540.023438,1463.406006,1461.233887,1463.867798,1463.612793,1468.218506,1461.224976,1461.240112,1864.301514,1855.717896,1854.637939,1837.766357,1501.158936,1877.635742
2016-08,1803.242676,1805.122925,1872.704224,1500.274536,1508.293701,1462.140503,1456.627808,1452.401367,1465.113281,1457.218262,1495.460083,1505.867065,1626.538452,1630.003662,1546.892944,1541.47229,1462.829346,1460.863403,1463.931763,1463.452881,1468.73584,1461.798218,1460.658813,1863.704224,1855.108887,1854.074219,1837.958008,1500.954834,1876.9375
2016-09,1803.702271,1805.828979,1871.954834,1499.976196,1507.83252,1461.896851,1456.39502,1452.330566,1464.905884,1457.158325,1495.762085,1505.808472,1626.713745,1631.209839,1548.219604,1542.851563,1462.211182,1460.542114,1463.947388,1463.269653,1469.122192,1462.225464,1460.27002,1862.962158,1854.45752,1853.43042,1837.972534,1500.714233,1876.071777
2016-10,1801.421753,1803.462036,1871.677002,1499.734741,1507.526123,1461.856567,1456.128662,1449.952637,1464.789673,1456.202393,1494.7146,1505.58374,1626.36499,1627.618896,1545.322144,1539.887695,1462.375122,1460.010864,1463.16272,1462.50354,1467.400757,1460.34729,1460.008423,1862.823486,1854.394897,1853.339111,1837.342041,1500.478882,1875.467651
2016-11,1799.784302,1801.622559,1870.805176,1499.449951,1507.171265,1461.620728,1455.749268,1448.552734,1464.585327,1455.174316,1493.633423,1505.288574,1625.788574,1625.4552,1543.061035,1537.577515,1461.923218,1459.387451,1462.119141,1461.594971,1466.101318,1458.961426,1459.54541,1862.307373,1853.920898,1852.83252,1836.243652,1500.17981,1874.662964
2016-12,1799.209229,1800.935059,1870.80481,1499.249634,1506.940308,1461.769165,1455.597168,1448.441284,1464.531738,1454.741211,1493.212158,1505.171875,1625.515991,1625.192871,1542.226685,1536.70105,1461.879272,1459.044556,1461.403687,1461.037231,1465.594727,1458.456543,1459.340942,1862.406616,1854.043335,1852.949585,1836.140137,1500.042847,1874.282715
